row_index,session_id,src_ip,src_port
0,b0e5bfde20bb,198.51.100.42,51619
1,8786c443684d,91.240.118.50,40351
2,35b0c0af5430,192.168.1.100,36378
3,be923f40ef01,45.154.255.85,58422
4,05d502da36e4,10.0.0.99,43288
5,3c3f285bfc16,185.220.101.5,55272
6,42b53b06cc34,91.240.118.50,43445
7,919e51f7a829,91.240.118.50,36156
8,ec8b540c6735,91.240.118.50,54871
9,90b040d74a35,185.220.101.5,56757
10,b3bf29b71dcc,185.220.101.5,55852
11,3162bba25b98,185.220.101.5,53690
12,40db12056d90,185.220.101.5,35702
13,e12ef6b7574a,103.251.167.20,51033
14,ccd34ada72ad,185.220.101.5,37120
15,39184f2385a3,185.220.101.5,37424
16,0397198beb2c,45.154.255.85,33354
17,0e4830102ddd,193.27.228.11,52105
18,a3265c54ea70,193.27.228.11,52034
19,a1716e25bf47,185.220.101.5,36245
20,74379ed865e5,103.251.167.20,38733
21,5307aabb1d66,172.16.5.4,43759
22,4622514fee28,91.240.118.50,50752
23,4c5259a8cee9,10.0.0.99,35574
24,0cbeb335fd34,45.154.255.85,41459
25,8434a4d2fa29,185.220.101.5,45188
26,c370fde505a6,10.0.0.45,43689
27,88cb7219ce6a,172.16.5.4,46498
28,7883ede404bb,172.16.0.12,55807
29,fc8c4c3899f8,91.240.118.50,35295
30,13d9ce98dc52,172.16.5.4,59432
31,d3d2b9e20353,172.16.0.12,49949
32,875878c317c9,198.51.100.99,48027
33,177a6b9caf0e,192.168.1.100,51633
34,8301fe64fd7f,198.51.100.99,46479
35,39a8120358c9,203.0.113.15,50714
36,9d7309333e1c,198.51.100.42,34325
37,81b583b42a25,185.220.101.5,44104
38,e6d6bc98e8f9,103.251.167.20,46136
39,404bbe0578f4,193.27.228.11,36827
40,3c0330eb60c2,198.51.100.99,33997
41,163756fb4831,185.220.101.5,56191
42,712a9d43782f,193.27.228.11,42592
43,7ac07f439349,91.240.118.50,41994
44,45b21e31cb11,185.220.101.5,59056
45,374668d23404,198.51.100.99,52281
46,0a78ec5d83fb,198.51.100.42,55817
47,0a344207a9ad,91.240.118.50,48236
48,479ce3d71f37,198.51.100.99,55807
49,d98dd321af00,198.51.100.42,33198
50,5e3a32d195f5,203.0.113.15,50701
51,6bea88f1ac02,198.51.100.99,47118
52,e4b3dc730393,103.251.167.20,45000
53,fff868b20335,103.251.167.20,36923
54,195923ce926c,172.16.0.12,53239
55,9a9d8cf9ff52,185.220.101.5,53552
56,698ff5769671,91.240.118.50,35947
57,b4f112ee6d5e,172.16.5.4,37791
58,0a63f1cb3196,45.154.255.85,48364
59,9bee33be2af9,91.240.118.50,43605
60,56e99e45ed61,172.16.0.12,44457
61,bc04d9db63cf,185.220.101.5,55477
62,90665195bcf8,198.51.100.99,59830
63,29a32e38514c,198.51.100.99,41695
64,cf72fffeb3df,198.51.100.99,60413
65,d1326edfd88e,198.51.100.42,60034
66,bd4274ddca69,45.154.255.85,55976
67,e821caf3fb76,203.0.113.15,44437
68,b174aea09547,103.251.167.20,36584
69,a8a1fa8120d6,91.240.118.50,58147
70,28bec5758f4e,91.240.118.50,51281
71,35a9f664aa81,172.16.5.4,58432
72,efb1d52486bb,185.220.101.5,51445
73,ad41a26625bc,185.220.101.5,46793
74,9d0df26a7603,91.240.118.50,55548
75,c55f41bba0dd,198.51.100.99,58262
76,12076c829af5,203.0.113.15,42727
77,64ad6b75c839,45.154.255.85,49598
78,06e22d29abf5,185.220.101.5,53222
79,ad3a7a5f4ff7,172.16.0.12,46879
80,aa3d1418ebbc,91.240.118.50,41625
81,e8eb5186e6ee,192.168.1.100,60506
82,d17acaf4bc60,10.0.0.99,52822
83,6e173588ee59,91.240.118.50,55637
84,e6553a8d6a6a,45.154.255.85,45830
85,35a2fdbb5c05,45.154.255.85,42239
86,4b8a93b81e46,198.51.100.42,33322
87,bf5ed653fc18,193.27.228.11,47437
88,ff8e726d9138,10.0.0.99,60539
89,810dfc5bd5ec,203.0.113.15,43931
90,14559e1286bc,45.154.255.85,57261
91,0a2c5cd778a0,103.251.167.20,54446
92,45080025c51d,10.0.0.99,57702
93,1eac7baf247d,10.0.0.99,41036
94,0ec9a30da450,91.240.118.50,59505
95,2a89239f7eb1,91.240.118.50,53518
96,a6c056797cb9,203.0.113.15,48016
97,43d86748478e,91.240.118.50,43059
98,6b536712d91f,103.251.167.20,33346
99,28ee1e09be45,172.16.5.4,37883
100,d85bec2feaa7,185.220.101.5,43145
101,863082c9eeb3,198.51.100.99,54856
102,ece1ad121b39,185.220.101.5,33085
103,a195ece3e66d,198.51.100.42,54724
104,93b9f622adf4,172.16.0.12,33380
105,81c7769f19a9,172.16.5.4,41359
106,bde4dd82af71,172.16.0.12,46651
107,341ea517f387,192.168.1.100,46352
108,16ab5e52d64b,193.27.228.11,35498
109,c9e8432cdcc9,91.240.118.50,44976
110,400878d7eb5f,198.51.100.99,32887
111,2cb42ec83876,193.27.228.11,55401
112,67a50416b796,103.251.167.20,39150
113,137d97b353f1,185.220.101.5,60288
114,479dbb7212ca,193.27.228.11,34390
115,661099114e16,103.251.167.20,43275
116,d858686f7ff7,103.251.167.20,54801
117,2667c37fd7a1,185.220.101.5,44951
118,8de059baad23,172.16.0.12,50100
119,b6a4211478f8,185.220.101.5,45767
120,754356c952d5,193.27.228.11,55667
121,b8271489e389,193.27.228.11,39775
122,0157fa287082,45.154.255.85,52302
123,cef3eb9129a4,198.51.100.42,37432
124,84f4124d466a,103.251.167.20,48682
125,db46b50045e5,45.154.255.85,50019
126,7bbd652bd6e9,103.251.167.20,44586
127,d8ec4e41c50f,103.251.167.20,51421
128,b6725c9a4647,185.220.101.5,47186
129,35232247d75b,103.251.167.20,39797
130,0b0097123628,91.240.118.50,34308
131,6a542bc0d829,172.16.5.4,54447
132,b37abd3e9ae7,185.220.101.5,33196
133,986a13403913,185.220.101.5,36244
134,4fad79c4b7ed,203.0.113.15,56157
135,cad7c408b7aa,198.51.100.42,37633
136,62afc3071a16,193.27.228.11,50535
137,47901ee83ef4,103.251.167.20,46888
138,71418fe23016,193.27.228.11,37878
139,ede6d9ff85d0,185.220.101.5,60445
140,7c8cab6c2e44,10.0.0.99,46808
141,cf23ff09dd53,10.0.0.45,44086
142,4a87b45dd841,198.51.100.42,36104
143,08032189c0a7,192.168.1.100,58072
144,ceddc9e34184,185.220.101.5,43371
145,fc126df2b70d,10.0.0.99,59975
146,50f07dcef3b2,185.220.101.5,39516
147,62a2aff1edd4,172.16.0.12,32951
148,fb2a9abb6072,91.240.118.50,48856
149,072fbd4e3f72,193.27.228.11,48299
150,8e9376bea18b,198.51.100.99,60717
151,4c1a4bf15c2f,185.220.101.5,36587
152,94b9c8531692,198.51.100.99,37689
153,66c1462e3b90,185.220.101.5,44363
154,b19b82306545,198.51.100.99,33044
155,c8a7f0702308,45.154.255.85,33910
156,550fdd567e3f,198.51.100.99,44696
157,2b9cf21b5887,45.154.255.85,58857
158,6a8066071b5a,192.168.1.100,57149
159,58052d671062,172.16.0.12,50436
160,6ce954c6c990,45.154.255.85,35985
161,0db0e5cac32b,91.240.118.50,36309
162,356b6399e3bb,185.220.101.5,52669
163,01dfa7013a38,185.220.101.5,33272
164,dc51e43f40a0,185.220.101.5,37086
165,972dd87bf5cc,103.251.167.20,54053
166,6d2dc17e26d9,203.0.113.15,59326
167,92ac21f7f0e7,185.220.101.5,59012
168,16fb4070dd65,172.16.5.4,44985
169,6fd8a853054e,193.27.228.11,53013
170,67866f5e74e7,185.220.101.5,45854
171,90777b661685,198.51.100.99,43540
