Model,Latent Dimension,GMM Components,Silhouette,Davies-Bouldin,Calinski-Harabasz,Training Time (s)
VAE + GMM,4,2,0.6201514005661011,0.8787946065142094,8032.676173394613,20.65848183631897
VAE + GMM,8,2,0.51755291223526,1.0069184876823758,7359.24906578498,20.41655969619751
VAE + GMM,2,5,0.49085840582847595,2.771059699612929,3876.3921290892654,16.26858139038086
VAE + GMM,4,3,0.4610377848148346,1.6239113975381942,3842.2327147139736,22.02226948738098
VAE + GMM,2,2,0.4606737792491913,0.8503151656844048,8394.676878593007,15.613690853118896
VAE + GMM,4,4,0.436843603849411,1.290759672883536,5776.095715624017,22.610662698745728
VAE + GMM,2,6,0.41752851009368896,2.547326559156593,3226.7217572765016,17.343181610107422
VAE + GMM,2,10,0.37122371792793274,1.5277912616725486,6975.473294763243,22.729546070098877
VAE + GMM,2,9,0.36936280131340027,1.738887358564022,4581.669672910817,20.8113055229187
VAE + GMM,2,7,0.3646778464317322,2.64902043998438,2745.0155638536557,18.999786615371704
VAE + GMM,2,8,0.3643728196620941,4.178179748994753,3046.0270782518514,19.19678044319153
VAE + GMM,2,4,0.35287874937057495,2.6551647929494226,3083.4707452605257,16.552873134613037
VAE + GMM,2,3,0.35162270069122314,0.8872792303195007,3482.3414267353196,17.125450611114502
VAE + GMM,8,6,0.33591899275779724,1.9062296276857866,4188.312266891824,25.283632516860962
VAE + GMM,4,5,0.3348197340965271,1.365352314999329,4850.196543600575,22.673702478408813
VAE + GMM,4,6,0.3215544521808624,1.1818086256986755,4488.013941134212,26.23343563079834
VAE + GMM,8,5,0.32011812925338745,2.49808022607528,2824.4743652476436,22.627254247665405
VAE + GMM,8,7,0.31392723321914673,1.878765219463965,3206.783476385099,25.457237482070923
VAE + GMM,8,3,0.29183655977249146,1.062363037877745,3848.1077759389727,22.656437635421753
VAE + GMM,8,8,0.2768142819404602,2.077981642219908,4004.6113561064044,26.76002311706543
VAE + GMM,4,10,0.2679787576198578,1.2891948258553483,4402.518158613855,26.241813898086548
VAE + GMM,8,9,0.25552481412887573,2.5973717927892945,3898.2343267015026,28.74698042869568
VAE + GMM,8,10,0.2413247972726822,2.4684117077509695,3578.389680042306,32.600306034088135
VAE + GMM,8,4,0.22905904054641724,2.0361578991019353,2008.035018341322,24.932900190353394
VAE + GMM,4,9,0.16272172331809998,1.119518095113549,5095.148673950558,27.67268967628479
VAE + GMM,4,7,0.161987766623497,1.8126749090717973,3392.702314685175,25.65013551712036
VAE + GMM,4,8,0.13811253011226654,1.589523802104027,3707.3230124555635,30.401105165481567
