Model,Latent Dimension,K,Silhouette,Davies-Bouldin,Calinski-Harabasz,Training Time (s)
Autoencoder + K-Means,2,2,0.869512677192688,0.7719176176854268,2670.6476463339627,19.958603382110596
Autoencoder + K-Means,4,2,0.5837899446487427,0.8588388401083098,5168.970140226432,20.124542474746704
Autoencoder + K-Means,4,3,0.5758427977561951,0.7028718805848958,5864.697325347896,20.255618810653687
Autoencoder + K-Means,4,4,0.5709247589111328,0.7237600536939748,5308.149218562366,20.215034246444702
Autoencoder + K-Means,8,8,0.5178791880607605,0.747512837487408,6881.675403034986,20.91079616546631
Autoencoder + K-Means,8,3,0.5085204243659973,0.7608556048360668,6088.786045986301,20.692632913589478
Autoencoder + K-Means,8,7,0.5049976706504822,0.7066325253333099,6652.632685422013,20.9075129032135
Autoencoder + K-Means,8,6,0.5028725862503052,0.8216970755626165,6771.724030028885,20.96301531791687
Autoencoder + K-Means,8,5,0.5016305446624756,0.8531306972204389,6559.984174646595,20.803649187088013
Autoencoder + K-Means,2,5,0.49915868043899536,0.6993005876311169,4866.341573926363,20.005193948745728
Autoencoder + K-Means,2,15,0.4983613193035126,0.5809903399425254,6016.880878124009,20.899057865142822
Autoencoder + K-Means,2,14,0.496052622795105,0.6238521272536393,6326.370278712654,20.971609830856323
Autoencoder + K-Means,2,13,0.49490877985954285,0.6340169068536412,5887.444853850042,20.29307770729065
Autoencoder + K-Means,8,4,0.49172109365463257,0.7143166305116466,6928.183331860923,20.74346113204956
Autoencoder + K-Means,8,2,0.48730385303497314,0.864788775469033,4877.040178466067,20.661547660827637
Autoencoder + K-Means,2,12,0.4846237301826477,0.6479054694756442,5848.444661630961,20.29368543624878
Autoencoder + K-Means,8,11,0.48094049096107483,0.7926198411746658,6840.875263205503,21.075502157211304
Autoencoder + K-Means,2,11,0.4807654321193695,0.667588414342234,5775.283369630599,20.240580081939697
Autoencoder + K-Means,8,13,0.47802236676216125,0.7734287905196415,6741.481934173887,21.090307474136353
Autoencoder + K-Means,8,12,0.4775836765766144,0.8466332333809935,6799.007805737119,21.08096694946289
Autoencoder + K-Means,8,10,0.4760963022708893,0.8332712348090718,6848.900379638184,20.992367267608643
Autoencoder + K-Means,8,9,0.473402738571167,0.8268787254631023,6698.79041554335,20.96183490753174
Autoencoder + K-Means,2,10,0.47117510437965393,0.6619977508549172,5481.725801273732,20.206249475479126
Autoencoder + K-Means,8,15,0.461121529340744,0.8570057673957734,6726.714002280612,21.17538022994995
Autoencoder + K-Means,8,14,0.45907339453697205,0.8819418752113715,6773.432443452836,21.17605686187744
Autoencoder + K-Means,2,8,0.45435526967048645,0.7266275064409984,5468.396087614702,20.44958519935608
Autoencoder + K-Means,2,9,0.45420321822166443,0.7050261270212038,5388.744374678636,20.28645086288452
Autoencoder + K-Means,2,4,0.4486936628818512,0.7544543664794824,4112.201913440516,20.000908851623535
Autoencoder + K-Means,4,11,0.44320693612098694,0.7873967446329554,5282.556960646587,20.385899305343628
Autoencoder + K-Means,2,7,0.43825918436050415,0.7361097315657232,5367.374290513747,20.412006378173828
Autoencoder + K-Means,4,13,0.4365268647670746,0.7333487348778345,5141.628541792613,20.516888856887817
Autoencoder + K-Means,4,10,0.43518272042274475,0.7281174952393583,5229.530852548376,20.357413291931152
Autoencoder + K-Means,2,6,0.4344292879104614,0.716552084281843,5155.236939558729,20.098551988601685
Autoencoder + K-Means,4,15,0.43236929178237915,0.8595446300267284,5440.149848412132,20.559534311294556
Autoencoder + K-Means,4,14,0.4314877986907959,0.7919411154281489,5259.330006834669,20.559677362442017
Autoencoder + K-Means,4,9,0.43030235171318054,0.8564746053614244,5249.687108957414,20.34334707260132
Autoencoder + K-Means,4,7,0.42439043521881104,0.830978068919369,5294.990419592107,20.29087543487549
Autoencoder + K-Means,4,8,0.42431336641311646,0.8474202947459514,5029.096247956886,20.294270753860474
Autoencoder + K-Means,4,12,0.41437792778015137,0.775815938220305,5248.859429691058,20.487065315246582
Autoencoder + K-Means,2,3,0.4080999493598938,0.7729744248060261,3551.816493629677,19.975363731384277
Autoencoder + K-Means,4,6,0.3999086916446686,0.8249888821159166,5233.7876464258115,20.273946046829224
Autoencoder + K-Means,4,5,0.3842700123786926,0.8406662313263988,4979.536692579798,20.266287565231323
