Cluster,Confidence
2,0.95999694
1,0.9318862
2,0.91322005
0,0.9556236
2,0.83598727
1,0.9319909
2,0.83037585
1,0.93096936
0,0.955503
1,0.8918895
2,0.9421576
0,0.9557181
2,0.94726896
0,0.9557855
0,0.955751
2,0.95269454
1,0.92634076
0,0.9555254
0,0.9556638
1,0.93011963
0,0.9557455
2,0.95311373
2,0.8343638
0,0.955721
1,0.9316524
1,0.91442746
2,0.9579079
2,0.9392125
2,0.96016335
1,0.93283576
2,0.8664074
2,0.95098513
1,0.9330816
2,0.9481541
0,0.9557536
1,0.9316513
1,0.9282195
0,0.95564634
0,0.95581514
1,0.9319414
1,0.93292785
0,0.9557638
0,0.95553386
1,0.93315065
1,0.89016616
1,0.93239814
2,0.90716296
1,0.90703875
1,0.93275833
1,0.9200753
1,0.92968124
1,0.9329805
0,0.9557478
0,0.95567954
2,0.9605647
2,0.9512566
0,0.95552033
2,0.9531078
0,0.95578027
2,0.9307804
2,0.8802146
1,0.6305958
0,0.955753
0,0.95581836
1,0.9330472
2,0.9576586
1,0.9322901
0,0.95568377
0,0.9558182
1,0.9299745
1,0.9333349
2,0.8792616
0,0.90993476
1,0.92646253
0,0.95557636
1,0.9327581
1,0.9333891
1,0.9274629
0,0.8418648
0,0.95576584
2,0.8848152
0,0.9557002
2,0.9448216
1,0.9285465
0,0.9557807
0,0.955796
0,0.95573694
1,0.93186957
2,0.9362238
1,0.92779267
1,0.5625536
0,0.95576495
2,0.93420064
2,0.8363113
1,0.9331633
0,0.95570326
0,0.955824
1,0.93312174
0,0.9558101
2,0.93840075
0,0.9557175
1,0.93318576
1,0.9275049
2,0.8673154
2,0.9568071
2,0.9342403
2,0.95617604
2,0.9581111
0,0.9557372
1,0.9153046
1,0.9330254
0,0.9555736
0,0.95579976
0,0.9558148
0,0.955767
0,0.9557913
0,0.9558143
1,0.9325071
2,0.9138979
0,0.95555085
0,0.9557702
0,0.9558251
0,0.955594
2,0.92331076
0,0.9552955
1,0.93286794
0,0.9556805
0,0.9556488
