Latent_1,Latent_2,Cluster
6.98468,4.446392,2
2.1756613,2.1069014,1
8.313506,5.221183,2
-2.618531,-0.011813179,0
9.619072,5.82161,2
2.2050226,2.0872076,1
5.719395,3.7699246,2
2.1116507,2.1562436,1
-2.554752,-0.0530165,0
1.4365034,1.6507328,1
6.5554557,4.1051545,2
-2.5900245,-0.063410655,0
7.7408895,4.6880794,2
-2.651466,-0.048955306,0
-2.6764786,-0.10508813,0
7.4647374,4.8004885,2
2.4491277,2.0386095,1
-2.7126272,-0.1300586,0
-2.6972241,-0.11027445,0
2.306334,2.0974522,1
-2.6684022,-0.044031277,0
6.7417765,4.2261133,2
9.529463,6.0191927,2
-2.6842577,-0.10764553,0
1.9874053,1.9013189,1
2.637094,2.1314702,1
7.3465786,4.602386,2
7.888868,4.8638268,2
7.2108297,4.3847556,2
2.1258214,2.0527873,1
5.901738,3.8598895,2
7.597817,4.72616,2
2.2044625,1.9514751,1
7.665427,4.7813225,2
-2.6158738,-0.04379584,0
2.1077256,2.1250587,1
1.9219555,1.7856832,1
-2.694723,-0.12060799,0
-2.6411116,-0.06117262,0
2.1258743,1.8047224,1
2.2137997,1.9857324,1
-2.671323,-0.10556628,0
-2.718867,-0.116571024,0
2.1632962,2.0122485,1
1.4389853,1.6087316,1
2.251439,1.9941362,1
6.2066984,3.9131336,2
2.7108748,2.2026663,1
2.230689,1.9781375,1
1.7880511,1.690416,1
1.9719692,2.1427138,1
2.2083652,1.9863819,1
-2.6851292,-0.079383746,0
-2.5810199,-0.09619577,0
7.0783796,4.438055,2
7.6317296,4.635454,2
-2.554757,-0.062214747,0
7.4871044,4.7567277,2
-2.6521819,-0.047158137,0
6.3132057,4.2958536,2
8.860986,5.505152,2
0.2849599,1.1624469,1
-2.6826653,-0.08927818,0
-2.6435716,-0.06386174,0
2.0643926,1.9650635,1
7.2997646,4.2166543,2
2.1955836,2.0735102,1
-2.6947777,-0.10599126,0
-2.6271186,-0.0691597,0
2.0803475,2.1897173,1
2.117738,1.9346575,1
8.8326235,5.578352,2
-1.7450235,0.16724811,0
2.4151194,2.1139061,1
-2.5651512,-0.055058137,0
2.0468392,1.9219698,1
2.1411176,1.951857,1
1.9707685,1.7089056,1
-1.4669052,0.65417373,0
-2.6087363,-0.10502823,0
6.0111537,3.9128218,2
-2.5849102,-0.066674784,0
6.6247935,4.080285,2
2.405895,1.9678365,1
-2.6745656,-0.076778606,0
-2.6682427,-0.08444692,0
-2.6298277,-0.03299083,0
2.187339,2.1033704,1
7.8337545,5.059712,2
2.2401078,2.2353528,1
0.14785413,0.9194687,1
-2.671683,-0.05541511,0
7.9833965,4.933074,2
5.8062024,3.6703565,2
2.1010675,2.008363,1
-2.5851471,-0.06864984,0
-2.6384661,-0.09129204,0
2.12405,1.8930112,1
-2.6424665,-0.058242753,0
7.842579,4.970174,2
-2.5931222,-0.055780068,0
2.0911865,1.9258232,1
2.3258305,2.1874835,1
5.948758,3.780692,2
